,results
289,7.054
290,8.5005
291,8.6305
292,8.585
293,8.356
294,7.3855
295,8.8445
296,8.3195
297,7.838
298,7.883
299,7.462
300,8.0475
301,7.9385
302,7.877
303,7.413
304,7.8685
305,8.735
306,8.518
307,8.423
308,8.177
309,8.1825
310,8.374
311,8.111
312,8.5415
313,7.602
314,8.382
315,7.1095
316,7.2215
317,7.194
318,8.06
319,8.815
320,7.964
321,7.995
322,7.9535
323,8.1175
324,7.584
325,7.503
326,8.074
327,9.5205
328,7.2185
329,8.3615
330,7.1365
331,8.6405
332,8.235
333,7.5575
334,8.0025
335,8.484
336,8.104
337,8.0045
338,9.3185
339,8.123
340,7.032
341,7.1615
342,7.7125
343,8.5785
344,8.5675
345,7.9305
346,8.496
347,7.3655
348,7.4625
349,7.737
350,7.8975
351,7.4225
352,7.613
353,8.1885
354,7.713
355,7.4305
356,8.096
357,7.675
358,8.2055
359,8.312
360,8.0075
361,8.3465
362,6.7505
363,8.7355
364,8.3905
365,8.009
366,7.464
367,7.3275
368,7.825
369,7.1845
370,8.2715
371,8.5105
372,8.031
373,7.827
374,7.6095
375,8.1225
376,7.9805
377,8.9265
378,8.855
379,9.4705
380,8.0785
381,8.5685
382,7.2855
383,8.204
384,8.078
385,8.166
386,8.1785
387,8.874
388,8.549
389,7.326
390,8.6195
391,8.066
392,8.053
393,8.876
394,8.3685
395,8.6115
396,7.4895
397,7.4255
398,7.595
399,8.3295
400,8.56
401,6.9405
402,8.4275
403,8.781
404,8.868
405,8.103
406,7.791
407,7.675
408,8.257
409,7.856
410,8.778
411,8.393
412,7.576
413,8.167
414,7.5335
415,7.803
416,8.8685
417,7.2825
418,8.4075
419,8.6055
420,8.2025
421,8.4485
422,9.4535
423,8.1965
424,8.399
425,7.384
426,8.718
427,7.727
428,7.731
429,8.6805
430,9.0375
431,6.9335
432,7.6815
433,8.3095
434,8.784
435,7.957
436,8.4695
437,7.971
438,8.5935
439,7.782
440,8.2095
441,9.027
442,8.487
443,8.4215
444,7.6675
445,8.717
446,8.127
447,7.1145
448,8.5075
449,8.7355
450,8.009
451,7.7685
452,7.9825
453,7.932
454,7.84
455,8.169
456,7.8815
457,7.792
458,7.829
459,7.8405
460,8.825
461,8.123
462,9.0155
463,8.478
464,8.051
465,7.464
466,7.949
467,7.5155
468,7.37
469,7.4165
470,8.675
471,8.216
472,9.5155
473,6.918
474,7.142
475,7.647
476,8.025
477,7.062
478,8.373
479,8.856
480,8.3525
481,8.1495
482,7.2925
483,7.116
484,7.1475
485,8.814
486,8.341
487,7.423
488,8.9535
489,8.3715
490,7.3815
491,8.118
492,7.5225
493,9.598
494,8.001
495,8.3575
496,8.4
497,8.3335
498,7.231
499,7.552
500,6.9985
501,6.9265
502,7.159
503,7.989
504,8.6645
505,7.7335
506,7.93
507,8.308
508,8.858
509,8.8095
510,8.302
511,8.9675
512,7.3355
513,7.297
514,8.232
515,7.937
516,7.871
517,8.377
518,7.371
519,8.4035
520,7.856
521,8.0595
522,6.9235
523,7.8675
524,9.0495
525,9.069
526,8.4425
527,8.483
528,7.38
529,8.7825
530,7.644
531,7.1715
532,9.0185
533,8.296
534,8.3355
535,7.837
536,7.9255
537,8.379
538,8.0815
539,8.3655
540,7.657
541,8.8195
542,7.972
543,7.87
544,8.869
545,7.2365
546,7.245
547,7.4995
548,8.077
549,8.92
550,7.746
551,8.0165
552,8.0385
553,7.923
554,8.0055
555,7.514
556,7.9215
557,7.7015
558,7.22
559,8.12
560,8.5985
561,8.4195
562,8.6935
563,7.496
564,7.409
565,7.2845
566,7.2345
567,7.1295
568,8.0655
569,7.135
570,7.031
571,9.003
572,9.006
573,7.8495
574,7.1795
575,8.0235
576,7.877
577,7.4115
578,7.4795
579,8.6
580,7.0485
581,6.5085
582,8.476
583,8.4005
584,7.7245
585,8.776
586,8.0805
587,7.327
588,8.1235
589,7.794
590,8.5815
591,8.346
592,8.5805
593,8.3345
594,7.188
595,7.306
596,7.7595
597,7.6425
598,8.3645
599,8.223
600,8.3665
601,8.8445
602,8.2905
603,9.99
604,7.6965
605,8.049
606,7.231
607,7.2385
608,7.1415
609,8.1485
610,7.8725
611,8.1765
612,8.148
613,8.148
614,7.865
615,7.5395
616,7.177
617,7.2415
618,7.917
619,7.8955
620,7.9065
621,7.83
622,7.5175
623,8.3705
624,7.1955
625,8.1115
626,7.357
627,7.368
628,7.3605
629,8.406
630,8.2835
631,8.4895
632,6.974
633,7.25
634,8.3475
635,7.2425
636,8.1875
637,7.266
638,8.1105
639,8.29
640,7.2885
641,7.836
642,8.6875
643,7.8115
644,7.902
645,8.5665
646,8.414
647,8.3875
648,8.9815
649,8.037
650,9.189
651,6.6675
652,8.624
653,8.3545
654,8.1995
655,8.595
656,6.8515
657,8.534
658,8.593
659,8.6575
660,8.726
661,7.7615
662,6.995
663,7.671
664,8.0
665,8.0065
666,6.8055
667,8.5055
668,8.1295
669,7.061
670,8.102
671,7.862
672,8.093
673,7.7435
674,8.098
675,8.424
676,8.0685
677,8.8305
678,7.939
679,8.4765
680,7.8
681,8.1965
682,7.5595
683,7.7525
684,8.472
685,8.3655
686,8.3105
687,7.155
688,7.7085
689,7.6545
690,7.671
691,8.7195
692,8.091
693,7.0905
694,8.564
695,7.557
696,7.1955
697,8.3955
698,8.554
699,6.837
700,7.5945
701,8.0725
702,7.6715
703,8.805
704,8.453
705,8.743
706,5.029
707,5.424
708,5.4195
709,5.3475
710,5.42
711,5.1545
712,5.288
713,5.132
714,5.2335
715,5.844
716,5.477
717,5.272
718,6.3725
719,5.769
720,5.094
721,5.7125
722,6.4825
723,6.5735
724,5.2485
725,6.0535
726,6.814
727,5.712
728,5.9365
729,4.8325
730,5.5135
731,6.044
732,6.6375
733,5.684
734,6.317
735,5.3475
736,5.5625
737,5.127
738,5.8415
739,5.122
740,5.529
741,5.0315
742,6.479
743,6.6085
744,6.1575
745,5.408
746,5.0475
747,6.4925
748,6.019
749,6.716
750,6.91
751,5.629
752,6.647
753,6.865
754,5.0845
755,6.315
756,5.134
757,5.8005
758,5.328
759,6.012
760,6.451
761,6.238
762,6.687
763,6.6325
764,5.4625
765,5.555
766,5.924
767,5.937
768,5.866
769,5.298
770,6.7435
771,5.241
772,5.596
773,4.5195
774,5.1435
775,5.067
776,5.3055
777,5.01
778,5.4155
